date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-11-08,14,Amherst College,164465,939,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,506.1994609164421,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-09,14,Amherst College,164465,361,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,194.60916442048517,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-10,14,Amherst College,164465,1051,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,566.5768194070081,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-11,14,Amherst College,164465,2,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,1.078167115902965,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-12,14,Amherst College,164465,1119,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,603.2345013477088,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-13,14,Amherst College,164465,289,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,155.79514824797843,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-14,15,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-15,15,Amherst College,164465,930,3,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,501.3477088948787,1.6172506738544474,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-16,15,Amherst College,164465,383,3,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,206.4690026954178,1.6172506738544474,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-17,15,Amherst College,164465,1026,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,553.0997304582211,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-18,15,Amherst College,164465,23,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,12.398921832884097,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-19,15,Amherst College,164465,355,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,191.3746630727763,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-20,15,Amherst College,164465,1015,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,547.1698113207547,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-21,16,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-22,16,Amherst College,164465,445,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,239.89218328840968,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
